,date,state,previous_day_admission_influenza_confirmed,previous_day_admission_influenza_confirmed_coverage,previous_day_deaths_influenza,previous_day_deaths_influenza_coverage
0,2023-08-01T00:00:00.000,CA,2,349,0,152
1,2023-08-02T00:00:00.000,CA,5,352,0,153
2,2023-08-03T00:00:00.000,CA,9,352,0,152
3,2023-08-04T00:00:00.000,CA,10,353,0,153
4,2023-08-05T00:00:00.000,CA,8,352,0,154
5,2023-08-06T00:00:00.000,CA,7,351,0,154
6,2023-08-07T00:00:00.000,CA,4,348,0,150
7,2023-08-08T00:00:00.000,CA,8,348,0,149
8,2023-08-09T00:00:00.000,CA,5,351,0,150
9,2023-08-10T00:00:00.000,CA,0,351,0,150
10,2023-08-11T00:00:00.000,CA,8,351,0,151
11,2023-08-12T00:00:00.000,CA,3,350,0,151
12,2023-08-13T00:00:00.000,CA,5,350,0,152
13,2023-08-14T00:00:00.000,CA,2,356,0,150
14,2023-08-15T00:00:00.000,CA,6,356,0,150
15,2023-08-16T00:00:00.000,CA,5,359,0,151
16,2023-08-17T00:00:00.000,CA,5,359,0,152
17,2023-08-18T00:00:00.000,CA,3,359,0,152
18,2023-08-19T00:00:00.000,CA,5,358,0,153
19,2023-08-20T00:00:00.000,CA,1,358,0,153
20,2023-08-21T00:00:00.000,CA,2,355,0,152
21,2023-08-22T00:00:00.000,CA,3,355,0,150
22,2023-08-23T00:00:00.000,CA,4,358,1,152
23,2023-08-24T00:00:00.000,CA,6,359,0,151
24,2023-08-25T00:00:00.000,CA,9,359,0,153
25,2023-08-26T00:00:00.000,CA,4,359,0,152
26,2023-08-27T00:00:00.000,CA,2,360,0,151
27,2023-08-28T00:00:00.000,CA,6,357,0,153
28,2023-08-29T00:00:00.000,CA,7,357,0,150
29,2023-08-30T00:00:00.000,CA,7,360,0,152
30,2023-08-31T00:00:00.000,CA,6,360,0,151
31,2023-09-01T00:00:00.000,CA,3,360,0,152
32,2023-09-02T00:00:00.000,CA,7,360,0,153
33,2023-09-03T00:00:00.000,CA,4,361,0,152
34,2023-09-04T00:00:00.000,CA,6,359,0,152
35,2023-09-05T00:00:00.000,CA,10,359,0,150
36,2023-09-06T00:00:00.000,CA,7,362,0,155
37,2023-09-07T00:00:00.000,CA,7,362,0,153
38,2023-09-08T00:00:00.000,CA,4,363,0,155
39,2023-09-09T00:00:00.000,CA,4,363,0,153
40,2023-09-10T00:00:00.000,CA,6,363,0,152
41,2023-09-11T00:00:00.000,CA,5,360,0,150
42,2023-09-12T00:00:00.000,CA,7,360,0,151
43,2023-09-13T00:00:00.000,CA,7,365,0,153
44,2023-09-14T00:00:00.000,CA,6,365,0,152
45,2023-09-15T00:00:00.000,CA,5,365,0,152
46,2023-09-16T00:00:00.000,CA,5,365,0,155
47,2023-09-17T00:00:00.000,CA,8,364,0,153
48,2023-09-18T00:00:00.000,CA,7,358,0,149
49,2023-09-19T00:00:00.000,CA,5,362,0,153
50,2023-09-20T00:00:00.000,CA,8,379,0,156
51,2023-09-21T00:00:00.000,CA,10,380,0,156
52,2023-09-22T00:00:00.000,CA,7,380,0,156
53,2023-09-23T00:00:00.000,CA,6,380,0,156
54,2023-09-24T00:00:00.000,CA,7,378,0,156
55,2023-09-25T00:00:00.000,CA,7,357,0,150
56,2023-09-26T00:00:00.000,CA,8,356,0,150
57,2023-09-27T00:00:00.000,CA,7,374,0,157
58,2023-09-28T00:00:00.000,CA,5,375,0,156
59,2023-09-29T00:00:00.000,CA,7,375,0,154
60,2023-09-30T00:00:00.000,CA,6,375,0,155
61,2023-10-01T00:00:00.000,CA,2,375,0,155
62,2023-10-02T00:00:00.000,CA,6,356,0,147
63,2023-10-03T00:00:00.000,CA,5,355,0,147
64,2023-10-04T00:00:00.000,CA,8,361,0,151
65,2023-10-05T00:00:00.000,CA,7,361,0,151
66,2023-10-06T00:00:00.000,CA,8,361,0,152
67,2023-10-07T00:00:00.000,CA,9,361,0,151
68,2023-10-08T00:00:00.000,CA,5,361,0,151
69,2023-10-09T00:00:00.000,CA,10,356,0,151
70,2023-10-10T00:00:00.000,CA,8,357,0,150
71,2023-10-11T00:00:00.000,CA,11,361,1,151
72,2023-10-12T00:00:00.000,CA,6,361,0,152
73,2023-10-13T00:00:00.000,CA,13,361,1,152
74,2023-10-14T00:00:00.000,CA,8,361,0,151
75,2023-10-15T00:00:00.000,CA,9,361,0,151
76,2023-10-16T00:00:00.000,CA,4,357,0,149
77,2023-10-17T00:00:00.000,CA,8,356,0,148
78,2023-10-18T00:00:00.000,CA,9,360,0,149
79,2023-10-19T00:00:00.000,CA,6,360,0,149
80,2023-10-20T00:00:00.000,CA,9,360,0,151
81,2023-10-21T00:00:00.000,CA,6,360,0,148
82,2023-10-22T00:00:00.000,CA,8,360,0,149
83,2023-10-23T00:00:00.000,CA,9,357,0,147
84,2023-10-24T00:00:00.000,CA,12,357,0,147
85,2023-10-25T00:00:00.000,CA,14,362,0,149
86,2023-10-26T00:00:00.000,CA,11,363,0,149
87,2023-10-27T00:00:00.000,CA,12,362,0,150
88,2023-10-28T00:00:00.000,CA,10,361,0,150
89,2023-10-29T00:00:00.000,CA,11,362,0,150
90,2023-10-30T00:00:00.000,CA,12,357,0,148
91,2023-10-31T00:00:00.000,CA,14,357,0,150
92,2023-11-01T00:00:00.000,CA,15,361,0,149
93,2023-11-02T00:00:00.000,CA,13,361,0,150
94,2023-11-03T00:00:00.000,CA,17,360,0,150
95,2023-11-04T00:00:00.000,CA,15,360,0,149
96,2023-11-05T00:00:00.000,CA,24,360,0,149
97,2023-11-06T00:00:00.000,CA,31,357,0,146
98,2023-11-07T00:00:00.000,CA,31,357,0,148
99,2023-11-08T00:00:00.000,CA,41,360,0,148
100,2023-11-09T00:00:00.000,CA,27,360,1,149
101,2023-11-10T00:00:00.000,CA,36,361,0,149
102,2023-11-11T00:00:00.000,CA,32,361,0,149
103,2023-11-12T00:00:00.000,CA,50,361,0,149
104,2023-11-13T00:00:00.000,CA,42,358,0,148
105,2023-11-14T00:00:00.000,CA,45,358,1,149
106,2023-11-15T00:00:00.000,CA,46,361,0,148
107,2023-11-16T00:00:00.000,CA,58,361,1,149
108,2023-11-17T00:00:00.000,CA,58,361,0,150
109,2023-11-18T00:00:00.000,CA,61,361,0,150
110,2023-11-19T00:00:00.000,CA,65,361,0,150
111,2023-11-20T00:00:00.000,CA,64,357,0,147
112,2023-11-21T00:00:00.000,CA,62,358,0,148
113,2023-11-22T00:00:00.000,CA,53,363,0,151
114,2023-11-23T00:00:00.000,CA,51,363,0,149
115,2023-11-24T00:00:00.000,CA,62,363,0,149
116,2023-11-25T00:00:00.000,CA,80,361,1,150
117,2023-11-26T00:00:00.000,CA,85,361,0,150
118,2023-11-27T00:00:00.000,CA,61,357,1,149
119,2023-11-28T00:00:00.000,CA,89,358,1,148
120,2023-11-29T00:00:00.000,CA,88,360,0,150
121,2023-11-30T00:00:00.000,CA,90,360,0,150
122,2023-12-01T00:00:00.000,CA,100,361,1,149
123,2023-12-02T00:00:00.000,CA,118,360,1,149
124,2023-12-03T00:00:00.000,CA,108,359,1,149
125,2023-12-04T00:00:00.000,CA,127,356,1,148
126,2023-12-05T00:00:00.000,CA,120,356,0,147
127,2023-12-06T00:00:00.000,CA,121,359,0,150
128,2023-12-07T00:00:00.000,CA,119,360,1,150
129,2023-12-08T00:00:00.000,CA,104,360,1,150
130,2023-12-09T00:00:00.000,CA,108,360,3,150
131,2023-12-10T00:00:00.000,CA,104,360,0,150
132,2023-12-11T00:00:00.000,CA,125,356,4,147
133,2023-12-12T00:00:00.000,CA,131,356,1,147
134,2023-12-13T00:00:00.000,CA,149,360,1,150
135,2023-12-14T00:00:00.000,CA,158,360,1,149
136,2023-12-15T00:00:00.000,CA,163,360,2,150
137,2023-12-16T00:00:00.000,CA,166,360,0,150
138,2023-12-17T00:00:00.000,CA,167,360,3,150
139,2023-12-18T00:00:00.000,CA,182,355,0,149
140,2023-12-19T00:00:00.000,CA,198,356,2,147
141,2023-12-20T00:00:00.000,CA,264,359,1,149
142,2023-12-21T00:00:00.000,CA,275,360,3,149
143,2023-12-22T00:00:00.000,CA,297,360,4,150
144,2023-12-23T00:00:00.000,CA,249,360,1,148
145,2023-12-24T00:00:00.000,CA,228,359,2,147
146,2023-12-25T00:00:00.000,CA,194,355,0,145
147,2023-12-26T00:00:00.000,CA,242,355,1,147
148,2023-12-27T00:00:00.000,CA,269,359,2,148
149,2023-12-28T00:00:00.000,CA,294,360,5,150
150,2023-12-29T00:00:00.000,CA,280,360,2,148
151,2023-12-30T00:00:00.000,CA,245,360,2,147
152,2023-12-31T00:00:00.000,CA,241,359,1,146
153,2024-01-01T00:00:00.000,CA,214,355,4,146
154,2024-01-02T00:00:00.000,CA,235,355,1,146
155,2024-01-03T00:00:00.000,CA,206,358,3,149
156,2024-01-04T00:00:00.000,CA,191,358,4,146
157,2024-01-05T00:00:00.000,CA,192,359,1,150
158,2024-01-06T00:00:00.000,CA,141,359,3,150
159,2024-01-07T00:00:00.000,CA,167,357,4,149
160,2024-01-08T00:00:00.000,CA,158,352,5,146
161,2024-01-09T00:00:00.000,CA,138,353,4,146
162,2024-01-10T00:00:00.000,CA,160,356,3,148
163,2024-01-11T00:00:00.000,CA,161,358,2,150
164,2024-01-12T00:00:00.000,CA,118,358,3,150
165,2024-01-13T00:00:00.000,CA,130,358,1,149
166,2024-01-14T00:00:00.000,CA,139,357,3,147
167,2024-01-15T00:00:00.000,CA,163,353,3,145
168,2024-01-16T00:00:00.000,CA,132,353,1,145
169,2024-01-17T00:00:00.000,CA,181,356,0,148
170,2024-01-18T00:00:00.000,CA,150,357,2,149
171,2024-01-19T00:00:00.000,CA,151,357,2,149
172,2024-01-20T00:00:00.000,CA,129,356,4,149
173,2024-01-21T00:00:00.000,CA,105,355,2,149
174,2024-01-22T00:00:00.000,CA,97,351,1,147
175,2024-01-23T00:00:00.000,CA,107,351,4,146
176,2024-01-24T00:00:00.000,CA,98,354,0,149
177,2024-01-25T00:00:00.000,CA,118,355,1,149
178,2024-01-26T00:00:00.000,CA,92,354,1,148
179,2024-01-27T00:00:00.000,CA,92,354,1,147
180,2024-01-28T00:00:00.000,CA,85,353,0,147
181,2024-01-29T00:00:00.000,CA,67,349,2,145
182,2024-01-30T00:00:00.000,CA,73,348,2,145
183,2024-01-31T00:00:00.000,CA,79,351,1,147
184,2024-02-01T00:00:00.000,CA,77,349,2,146
185,2024-02-02T00:00:00.000,CA,70,348,2,147
186,2024-02-03T00:00:00.000,CA,66,344,1,145
